User Number,inLyingGroup,attention1,attention2,AttentionChecksPassed,AcademicAtt1,AcademicAtt2,AcademicAttChksPassed,AcademicScore1,AcademicScore2,AcademicScore3,AcademicScore4,AcademicScore5,AcademicScore6,AcademicScore7,AcademicScore8,AcademicScore9,AcademicScore10,AcademicScore11,AcademicScore12,AcademicScore13,AcademicScore14,AcademicScore15,AcademicScore16,AcademicScore17,AcademicScore18,AcademicScore19,AcademicScore20,AcademicScore21,AcademicScore22,AcademicScore23,AcademicScore24,AcademicScore,TotalAcademicScore
42,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
43,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
44,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
45,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,92,0.979166667
46,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,4,-4,4,4,80,0.916666667
47,1,3,3,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,-4,2,4,80,0.916666667
48,1,3,3,2,4,4,2,4,4,2,4,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,86,0.947916667
49,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
50,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
51,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,92,0.979166667
52,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
53,1,3,3,2,4,4,2,4,4,2,2,0,2,2,2,2,4,4,2,2,4,2,2,2,2,4,4,2,4,2,2,62,0.822916667
54,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
55,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,2,2,4,4,4,4,4,4,2,4,84,0.9375
56,1,1,3,1,4,4,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,88,0.958333333
57,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
58,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,92,0.979166667
59,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
60,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,86,0.947916667
61,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
62,1,3,-1,1,4,4,2,2,2,-4,2,-2,4,2,2,0,2,-2,2,-2,2,-2,-2,2,2,2,2,-2,2,-2,4,16,0.583333333
63,1,3,3,2,4,4,2,2,2,4,4,4,4,2,4,0,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,78,0.90625
64,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
65,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
66,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
67,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
68,1,3,3,2,4,4,2,2,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
69,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
70,1,1,3,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,-4,-2,4,4,2,4,4,4,4,4,4,4,80,0.916666667
71,1,1,-1,0,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
72,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
73,1,-3,1,0,1,3,0,0,0,0,0,0,-2,2,-2,2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,2,-2,-4,0.479166667
74,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
75,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,92,0.979166667
76,1,3,3,2,4,4,2,4,2,2,4,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,84,0.9375
77,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
78,1,3,3,2,4,4,2,4,2,4,4,2,2,4,4,2,4,2,4,2,2,2,2,2,4,4,4,2,2,2,4,70,0.864583333
79,1,3,3,2,4,4,2,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
80,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
81,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
82,1,1,3,1,4,4,2,4,2,4,4,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,88,0.958333333
83,1,3,3,2,4,4,2,4,4,4,4,2,2,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,4,84,0.9375
84,1,3,3,2,4,4,2,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,0,4,4,4,4,4,4,0,4,82,0.927083333
85,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,4,88,0.958333333
86,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
87,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
88,1,3,3,2,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
89,1,3,3,2,3,4,1,-2,0,-2,0,2,4,0,2,-2,0,2,-4,0,-2,2,2,-2,-4,-2,2,2,0,-2,0,-4,0.479166667
90,1,3,3,2,4,4,2,4,4,4,4,2,4,4,0,4,4,4,4,4,4,2,2,4,4,4,4,4,4,2,4,84,0.9375
91,1,3,3,2,4,4,2,4,4,4,4,2,4,4,2,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,88,0.958333333
92,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,4,90,0.96875
93,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
94,1,3,3,2,2,4,1,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,2,4,86,0.947916667
95,1,3,3,2,4,0,1,2,0,2,2,2,-2,4,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,70,0.864583333
96,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
97,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
98,1,1,-3,0,2,2,0,4,-2,0,0,2,4,0,-2,0,2,2,-2,0,-2,0,0,-2,-2,0,2,-4,-2,0,-2,-4,0.479166667
99,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
100,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,2,4,0,2,2,4,4,4,4,4,2,2,4,80,0.916666667
101,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-4,4,4,4,4,88,0.958333333
102,1,3,3,2,4,4,2,4,4,4,4,4,4,2,2,2,2,4,4,2,0,2,-2,2,2,2,2,-2,4,2,2,56,0.791666667
103,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
104,1,3,3,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,90,0.96875
105,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
106,1,-3,3,1,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
107,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
108,1,3,3,2,4,4,2,4,4,4,4,2,4,2,4,4,2,4,2,2,4,4,2,4,2,2,2,4,4,2,4,76,0.895833333
109,1,3,3,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,2,4,88,0.958333333
110,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,92,0.979166667
111,1,3,3,2,4,4,2,4,4,2,4,4,2,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
112,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
113,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
114,1,3,3,2,4,4,2,4,4,2,4,2,4,4,2,2,2,4,4,4,4,-2,4,2,4,4,4,4,4,2,4,76,0.895833333
115,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
116,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
117,1,3,3,2,4,4,2,4,2,2,2,2,4,4,2,2,2,4,4,4,2,2,2,2,4,4,4,4,4,2,2,70,0.864583333
118,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
119,1,1,3,1,4,4,2,4,-4,4,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,82,0.927083333
120,1,3,3,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,88,0.958333333
121,1,3,3,2,4,4,2,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
122,1,3,-3,1,4,2,1,2,4,4,4,0,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,84,0.9375
123,1,3,3,2,4,4,2,4,4,4,2,4,4,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,88,0.958333333
124,1,3,3,2,4,4,2,4,2,2,4,2,4,4,0,2,4,4,2,2,4,2,0,4,2,4,2,4,4,2,4,68,0.854166667
125,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,94,0.989583333
126,1,3,3,2,4,4,2,2,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,86,0.947916667
127,1,3,1,1,4,4,2,4,4,4,4,4,4,2,2,4,-2,4,2,2,4,2,2,2,0,2,2,2,2,4,4,64,0.833333333
128,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
129,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,90,0.96875
130,1,3,3,2,4,4,2,4,2,2,4,4,2,4,2,2,4,4,4,4,4,2,2,4,4,4,4,4,4,2,4,80,0.916666667
131,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
132,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
133,1,3,3,2,4,4,2,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
134,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,90,0.96875
135,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,94,0.989583333
136,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
137,1,3,3,2,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,90,0.96875
138,1,1,3,1,4,4,2,4,4,4,4,4,4,2,2,4,2,4,2,4,4,4,4,2,2,2,2,4,4,4,4,80,0.916666667
139,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,0,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,88,0.958333333
